id;macrorregiao;grupo;mantenedor;cultivar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;2;GRUPO I;GDM GENETICA DO BRASIL;FPS NETUNO RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;2;GRUPO I;GDM GENETICA DO BRASIL;FPS SOLAR IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;2;GRUPO I;GDM GENETICA DO BRASIL;FPS URANO RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;2;GRUPO I;GDM GENETICA DO BRASIL;GUAIA6510 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;2;GRUPO I;GDM GENETICA DO BRASIL;K5616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;2;GRUPO I;GDM GENETICA DO BRASIL;K6116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;2;GRUPO I;GDM GENETICA DO BRASIL;K6221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;2;GRUPO I;GDM GENETICA DO BRASIL;L60150 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;2;GRUPO I;GDM GENETICA DO BRASIL;L60158 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;2;GRUPO I;GDM GENETICA DO BRASIL;NEX 457 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;2;GRUPO I;GDM GENETICA DO BRASIL;NEX 458 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;1;GRUPO II;GDM GENETICA DO BRASIL;NEX 467 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;2;GRUPO II;GDM GENETICA DO BRASIL;PP 7500 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;2;GRUPO I;GDM GENETICA DO BRASIL;PRE 5808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;2;GRUPO I;GDM GENETICA DO BRASIL;PRE 6310 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;1;GRUPO II;GDM GENETICA DO BRASIL;PRE 6336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;2;GRUPO I;GDM GENETICA DO BRASIL;RK 5813 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;1;GRUPO II;GDM GENETICA DO BRASIL;RK 6316 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;1;GRUPO II;GDM GENETICA DO BRASIL;RK 6813 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;2;GRUPO II;GDM GENETICA DO BRASIL;RK 7214 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
219;2;GRUPO I;GDM GENETICA DO BRASIL;ROOS AVANCE RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;2;GRUPO I;GDM GENETICA DO BRASIL;ROOS CAMINO RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;2;GRUPO I;GDM GENETICA DO BRASIL;ROTA 54 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;1;GRUPO I;GDM GENETICA DO BRASIL ;BMX ATIVA RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;1;GRUPO I;GDM GENETICA DO BRASIL ;BMX ENERGIA RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;1;GRUPO I;GDM GENETICA DO BRASIL ;DMARIO 6200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;1;GRUPO I;GDM GENETICA DO BRASIL ;HO 5310 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;1;GRUPO I;GDM GENETICA DO BRASIL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;3;GRUPO I;GENEZE SEMENTES S/A;GNZ 1674 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228;3;GRUPO I;GENEZE SEMENTES S/A;GNZ 1675 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;3;GRUPO I;GENEZE SEMENTES S/A;GNZ 1774 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230;1;GRUPO I;GENEZE SEMENTES S/A;GNZ 550S RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;1;GRUPO II;GENEZE SEMENTES S/A;GNZ 660S RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;1;GRUPO I;GENEZE SEMENTES S/A;RM 5885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;1;GRUPO I;GENEZE SEMENTES S/A;SRM 4602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;1;GRUPO I;GENEZE SEMENTES S/A;SRM 5200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;1;GRUPO I;GENEZE SEMENTES S/A;SRM 5944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;1;GRUPO I;GENEZE SEMENTES S/A;SRM 5951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;1;GRUPO I;GENEZE SEMENTES S/A;SRM 6256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;1;GRUPO I;HO SEMENTES LTDA;57HO121 SC RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;1;GRUPO I;HO SEMENTES LTDA;58HO124 EP RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;1;GRUPO I;HO SEMENTES LTDA;HS 61103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241;1;GRUPO I;HO SEMENTES LTDA;HS 63126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;1;GRUPO I;LUIZ ALBERTO BENSO;BE 5711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;1;GRUPO II;LUIZ ALBERTO BENSO;BE 7015 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;1;GRUPO I;LUIZ ALBERTO BENSO;BENSO 1 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;1;GRUPO I;LUIZ ALBERTO BENSO;BENSO 3 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;1;GRUPO I;MONSOY LTDA;5644I PRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;1;GRUPO I;MONSOY LTDA;5674I PRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;1;GRUPO I;MONSOY LTDA;5761 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;2;GRUPO I;MONSOY LTDA;5857 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;2;GRUPO I;MONSOY LTDA;5993 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;2;GRUPO I;MONSOY LTDA;5994 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;2;GRUPO I;MONSOY LTDA;6023 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;2;GRUPO I;MONSOY LTDA;6037 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;2;GRUPO I;MONSOY LTDA;6039 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;1;GRUPO I;MONSOY LTDA;6047 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;1;GRUPO I;MONSOY LTDA;6051 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;1;GRUPO I;MONSOY LTDA;6087 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;2;GRUPO I;MONSOY LTDA;6114 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;2;GRUPO I;MONSOY LTDA;6240 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260;2;GRUPO I;MONSOY LTDA;6287 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;2;GRUPO I;MONSOY LTDA;6333 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;2;GRUPO I;MONSOY LTDA;6391 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;2;GRUPO I;MONSOY LTDA;6453 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;2;GRUPO II;MONSOY LTDA;7045 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;1;GRUPO I;MONSOY LTDA;95R95 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;1;GRUPO I;MONSOY LTDA;AS 3570 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;2;GRUPO I;MONSOY LTDA;AS 3575 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;1;GRUPO I;MONSOY LTDA;AS 3590 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;1;GRUPO I;MONSOY LTDA;AS 3610 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;2;GRUPO II;MONSOY LTDA;AS 3730 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
271;2;GRUPO II;MONSOY LTDA;AS3680 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;1;GRUPO I;MONSOY LTDA;BS 2606 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;2;GRUPO II;MONSOY LTDA;CD 2728 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;1;GRUPO I;MONSOY LTDA;M5410 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;1;GRUPO I;MONSOY LTDA;M5705 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;1;GRUPO I;MONSOY LTDA;M5730 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
277;1;GRUPO I;MONSOY LTDA;M5838 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;1;GRUPO I;MONSOY LTDA;M5892 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;1;GRUPO I;MONSOY LTDA;M5917 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;1;GRUPO I;MONSOY LTDA;M5947 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281;1;GRUPO I;MONSOY LTDA;M6210 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
282;1;GRUPO II;MONSOY LTDA;M6410 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NA 5909 RG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
284;1;GRUPO I;NIDERA SEEDS BRASIL LTDA;NS 4823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
285;1;GRUPO I;NIDERA SEEDS BRASIL LTDA;NS 5106 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
286;1;GRUPO I;NIDERA SEEDS BRASIL LTDA;NS 5160 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287;1;GRUPO I;NIDERA SEEDS BRASIL LTDA;NS 5258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
288;1;GRUPO I;NIDERA SEEDS BRASIL LTDA;NS 5445 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;1;GRUPO I;NIDERA SEEDS BRASIL LTDA;NS 5727 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
290;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 5959 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
291;1;GRUPO I;NIDERA SEEDS BRASIL LTDA;NS 6006 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292;1;GRUPO I;NIDERA SEEDS BRASIL LTDA;NS 6060 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 6209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
294;1;GRUPO I;NIDERA SEEDS BRASIL LTDA;NS 6390 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 6535 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 6601 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 6700 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
298;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 6823RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 6828 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 6906 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 6909 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 7000 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 7209 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 7237 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
305;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 7300 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
306;1;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 7338 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
307;2;GRUPO II;NIDERA SEEDS BRASIL LTDA;NS 7709 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
308;1;GRUPO I;SYNGENTA SEEDS LTDA;CA 1151811 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
309;1;GRUPO I;SYNGENTA SEEDS LTDA;CA 1156543 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
310;1;GRUPO I;SYNGENTA SEEDS LTDA;CA 1255292 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
311;1;GRUPO I;SYNGENTA SEEDS LTDA;CA 1255493 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312;1;GRUPO I;SYNGENTA SEEDS LTDA;NK 7059 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1049 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1059 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
315;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1060AP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
316;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1152 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
317;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1157 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
318;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1158 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
319;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1163 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
320;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1257 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
321;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1258 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322;2;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1261 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
323;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1263 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
324;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 13561 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
325;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1359S IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
326;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 13610 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
327;1;GRUPO II;SYNGENTA SEEDS LTDA;SYN 1363 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
328;1;GRUPO II;SYNGENTA SEEDS LTDA;SYN 1365 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329;1;GRUPO II;SYNGENTA SEEDS LTDA;SYN 1366C IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330;1;GRUPO II;SYNGENTA SEEDS LTDA;SYN 13671 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
331;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 15600 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
332;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1561 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
333;1;GRUPO II;SYNGENTA SEEDS LTDA;SYN 1562 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
334;1;GRUPO II;SYNGENTA SEEDS LTDA;SYN 15630 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
335;1;GRUPO II;SYNGENTA SEEDS LTDA;SYN 15640 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
336;1;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1657 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
337;2;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1662 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
338;2;GRUPO I;SYNGENTA SEEDS LTDA;SYN 1665 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339;1;GRUPO II;SYNGENTA SEEDS LTDA;SYN 9070 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
340;1;GRUPO II;SYNGENTA SEEDS LTDA;SYN 9074 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341;1;GRUPO I;SYNGENTA SEEDS LTDA;UB 12521065 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
342;1;GRUPO II;SYNGENTA SEEDS LTDA;UB 1350578 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;5400 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
344;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;5D610 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
345;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;5D6215 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
346;2;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;5D634 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
347;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;60163 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
348;1;GRUPO II;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;6400 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
349;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;CZ 36B31 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;DS 6017 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
351;1;GRUPO II;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;DS 6716 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
352;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;PRODUZA IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353;2;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;SG 1059 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
354;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;SG 10I58 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
355;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;SG 10I61 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
356;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;ST 620 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
357;1;GRUPO II;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 1066 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358;1;GRUPO II;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 1067 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359;1;GRUPO II;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 1264 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
360;1;GRUPO II;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 1266 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
361;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 1759 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
362;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 2158 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
363;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 7059 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
364;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 7060 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
365;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 7061 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
366;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 7062 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
367;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 7063 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
368;1;GRUPO II;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 7067 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
369;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 7161 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 7260 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
371;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 7262 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372;1;GRUPO I;TMG TROPICAL MELHORAMENTO E GENETICA LTDA.;TMG 7363 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
