id;macrorregiao;grupo;mantenedor;cultivar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;1;GRUPO I;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2585 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;1;GRUPO I;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2590 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;1;GRUPO I;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2591 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;1;GRUPO I;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2609 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;1;GRUPO I;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2611 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;1;GRUPO I;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2620 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;1;GRUPO I;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2630 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;1;GRUPO I;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2631 AP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;1;GRUPO II;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2644 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;1;GRUPO II;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2686 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;2;GRUPO II;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2687 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;1;GRUPO II;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2694 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;2;GRUPO II;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2700 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;1;GRUPO II;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2720 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;1;GRUPO II;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2730 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;1;GRUPO II;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2737 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;2;GRUPO II;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;CD 2747 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;1;GRUPO I;COODETEC DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO AGRICOLA LTDA;DS 5916 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;1;GRUPO I;DU PONT DO BRASIL S.A.;95R51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;1;GRUPO I;DU PONT DO BRASIL S.A.;95Y21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;1;GRUPO I;DU PONT DO BRASIL S.A.;95Y52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;1;GRUPO I;DU PONT DO BRASIL S.A.;95Y72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;1;GRUPO II;DU PONT DO BRASIL S.A.;96Y90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;1;GRUPO II;DU PONT DO BRASIL S.A.;97R21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;1;GRUPO II;DU PONT DO BRASIL S.A.;97Y07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;1;GRUPO III;DU PONT DO BRASIL S.A.;98Y30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;1;GRUPO I;DU PONT DO BRASIL S.A.;BG 4657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;1;GRUPO III;DU PONT DO BRASIL S.A.;P98Y11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;1;GRUPO III;DU PONT DO BRASIL S.A.;P98Y51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;1;GRUPO III;DU PONT DO BRASIL S.A.;P98Y70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;1;GRUPO I;EMBRAPA SOJA;BRS 1001 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;2;GRUPO I;EMBRAPA SOJA;BRS 1002 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;1;GRUPO II;EMBRAPA SOJA;BRS 1003 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;2;GRUPO I;EMBRAPA SOJA;BRS 1004 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;2;GRUPO I;EMBRAPA SOJA;BRS 1005 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
